,Tweet User,Text,Retweets,Favorites,Replies,Datetime,FormattedDate,Hashtags,Permalink
85,nzlata,As per @siftedeu predictions expect a growing momentum for #remotework and #distributedteams in 2020! I hope 2020 will illuminate some best practices that truly make it work for both sides as collaboration and communication don't happen by accident in remote teams! #futureofwork,0,0,0,2019-12-19 15:05:02+00:00,Thu Dec 19 15:05:02 +0000 2019,#remotework #distributedteams #futureofwork,https://twitter.com/nzlata/status/1207678231429730305
86,crdemon411,Best part of working from home #Breakfast my way #remotework #valife,0,0,0,2019-12-19 15:15:57+00:00,Thu Dec 19 15:15:57 +0000 2019,#Breakfast #remotework #valife,https://twitter.com/crdemon411/status/1207680979365761025
87,perkscon,"Today, Alexa is talking about PERKS and lifestyle benefits that are great if you have a remote workforce, partially remote workforce, or a flexible work from home policy! #RemoteWork #Remote #Workingfromhome #HR #humanressources #PeopleOps #peopleoperations #remoteworkforce",0,1,0,2019-12-19 15:35:37+00:00,Thu Dec 19 15:35:37 +0000 2019,#RemoteWork #Remote #Workingfromhome #HR #humanressources #PeopleOps #peopleoperations #remoteworkforce,https://twitter.com/perkscon/status/1207685928170512384
88,giligen,A good post by @lizarodewald on how startups can leverage #remotework to scale faster - ,0,1,0,2019-12-19 15:36:10+00:00,Thu Dec 19 15:36:10 +0000 2019,#remotework,https://twitter.com/giligen/status/1207686064514748417
89,pradeep_io,Struggles of Indian professionals working from home when parents are home 1. Switch off all the lights when not in use 2. Finish all the dinner or be ready to eat it in the breakfast 3. Explain again and again what you do #remotework #Indian #parents #workfromhome,0,4,0,2019-12-19 15:48:00+00:00,Thu Dec 19 15:48:00 +0000 2019,#remotework #Indian #parents #workfromhome,https://twitter.com/pradeep_io/status/1207689044731322368
90,JustaScribbler,"It stopped raining for a few minutes, which was nice. #viewfromtheoffice #workingfromhome ",0,2,1,2019-12-19 15:58:13+00:00,Thu Dec 19 15:58:13 +0000 2019,#viewfromtheoffice #workingfromhome,https://twitter.com/JustaScribbler/status/1207691616527552513
91,AragonResearch1,"For #remotework to be successful, the right technologies must be deployed, and enterprises should take both the benefits and challenges into close consideration: ",5,3,0,2019-12-19 16:03:01+00:00,Thu Dec 19 16:03:01 +0000 2019,#remotework,https://twitter.com/AragonResearch1/status/1207692821702086656
92,jengwho,"The comfort of having disposable cups to bring my morning coffee everywhere I go. School dropoff, office drop off, groceries, doing my remote work. It also goes to the recylce bin! &lt;3 #complimentary #ChinetComfortCup #ChinetComfortCupxCostco @Influenster @MyChinet",0,0,0,2019-12-19 16:07:32+00:00,Thu Dec 19 16:07:32 +0000 2019,#complimentary #ChinetComfortCup #ChinetComfortCupxCostco,https://twitter.com/jengwho/status/1207693958870163466
93,systemonela,#remotework is good for business,0,1,0,2019-12-19 16:22:16+00:00,Thu Dec 19 16:22:16 +0000 2019,#remotework,https://twitter.com/systemonela/status/1207697666488111105
94,paix120,"Travel to major cities burns me out more than I'd like to admit. Especially when driving. I've gotten used to working at home and not commuting and not being in social mode constantly. It's so depleting to be ""on"" all day, then battle DC traffic to get home. #remotework",0,3,0,2019-12-19 16:23:44+00:00,Thu Dec 19 16:23:44 +0000 2019,#remotework,https://twitter.com/paix120/status/1207698035985321985
95,sirkitree,Do you like mindmapping? Check out how you can do free mindmapping in @neos_vr for #remotework #vr,2,6,0,2019-12-19 16:35:18+00:00,Thu Dec 19 16:35:18 +0000 2019,#remotework #vr,https://twitter.com/sirkitree/status/1207700945905184768
96,VBelladonnaV,3/ Final point #AB5 doesn't really take remote work into consideration it's so bad that companies that contract with remote IC's exempt or not would rather just go to another state &amp; contract it's less confusing &amp; far easier AB5 basically penalizes IC's for simply living in Calif,0,1,0,2019-12-19 16:52:42+00:00,Thu Dec 19 16:52:42 +0000 2019,#AB5,https://twitter.com/VBelladonnaV/status/1207705324519489536
97,PeachFps,If anyone has some insight into remote positions in the US hmu. I'm in the NY area if that matters. Absolutely hate letting debt sit around and we always pay it off asap. This move has just been pretty fucked ngl. Pyramid scheme dumbasses don't DM me lmao #remotework,0,2,1,2019-12-19 16:59:04+00:00,Thu Dec 19 16:59:04 +0000 2019,#remotework,https://twitter.com/PeachFps/status/1207706926609514496
98,karenraycosta,I am scared to read this. #workfromhome #remotework ,0,0,0,2019-12-19 17:00:57+00:00,Thu Dec 19 17:00:57 +0000 2019,#workfromhome #remotework,https://twitter.com/karenraycosta/status/1207707401174032384
99,TammyBjelland,"Our next #networkplaceless event is on the challenges of hybrid team relationships. Join @workplaceless on Tuesday, January 14! #remotework ",1,4,0,2019-12-19 17:13:01+00:00,Thu Dec 19 17:13:01 +0000 2019,#networkplaceless #remotework,https://twitter.com/TammyBjelland/status/1207710440647790593
100,ConnectedCompas," Happy Holidays from Connected Compass - enjoy your time off with family, and all the best for the new year (&amp; new decade!) #happyholidays #freelancers #remotework ",0,0,0,2019-12-19 17:18:35+00:00,Thu Dec 19 17:18:35 +0000 2019,#happyholidays #freelancers #remotework,https://twitter.com/ConnectedCompas/status/1207711839242600448
101,workboldly,It's day 8 of celebrating our #12DaysofRemoteWork! #Holiday #RemoteWork #FlexWork #WorkingBoldly,0,1,0,2019-12-19 17:21:46+00:00,Thu Dec 19 17:21:46 +0000 2019,#12DaysofRemoteWork #Holiday #RemoteWork #FlexWork #WorkingBoldly,https://twitter.com/workboldly/status/1207712641915015169
102,Estnest,#Workingfromhome is an ever more viable choice as many homes have extremely fast and reliable internet access.,0,0,0,2019-12-19 17:30:13+00:00,Thu Dec 19 17:30:13 +0000 2019,#Workingfromhome,https://twitter.com/Estnest/status/1207714768506806277
103,TeleworkChick,"Why? Traffic, parental stress, and lack of finances for care. Reinstate telework for Social Security. Make this a family friendly agency! #telework #workingmoms #futureofwork #remotework ",0,1,0,2019-12-19 17:45:58+00:00,Thu Dec 19 17:45:58 +0000 2019,#telework #workingmoms #futureofwork #remotework,https://twitter.com/TeleworkChick/status/1207718732409319429
104,lollieshopping,"#SecretSanta gifts from @AmethystAnswers. Thank you! Even when you work remotely, like we do at @webdevstudios, you can still have a gift exchange party. #Elfster #RemoteWork #holidays #gifts",0,3,0,2019-12-19 18:10:21+00:00,Thu Dec 19 18:10:21 +0000 2019,#SecretSanta #Elfster #RemoteWork #holidays #gifts,https://twitter.com/lollieshopping/status/1207724866419314688
105,jammhq,"If I miss your slack notification it's because people are arguing about whether to name a function ""upperFirstCharacter"" or ""capitalize"" along several other trivial things in my channels. Sorry not sorry. #slack #remotework #virtualteams",0,0,0,2019-12-19 18:11:01+00:00,Thu Dec 19 18:11:01 +0000 2019,#slack #remotework #virtualteams,https://twitter.com/jammhq/status/1207725034384572416
106,hackerparadise, : Josh Boots : Nisha Chaterrjee : Hacker Paradise MVP #digitalnomad #adventure #hackerparadise #wanderlust #coworking #workandtravel #hackinglife #remotework #freelance #marrakech #Morocco,1,2,0,2019-12-19 18:20:55+00:00,Thu Dec 19 18:20:55 +0000 2019,#digitalnomad #adventure #hackerparadise #wanderlust #coworking #workandtravel #hackinglife #remotework #freelance #marrakech #Morocco,https://twitter.com/hackerparadise/status/1207727524677144584
107,Tosin_Yoyo,"What's #WiFi 6? - Faster - Efficient - 1,000% more download speed of US current rate. Say no more. It's almost here Watch the video for details . #Connectivity #internet #IoT #computing #InternetOfThings #remotework #Smartcities #CX #EmergingTech #BigData #WiFi6 #FutureOfWork",0,1,0,2019-12-19 18:38:00+00:00,Thu Dec 19 18:38:00 +0000 2019,#WiFi #Connectivity #internet #IoT #computing #InternetOfThings #remotework #Smartcities #CX #EmergingTech #BigData #WiFi6 #FutureOfWork,https://twitter.com/Tosin_Yoyo/status/1207731824857714688
108,kkhipple,When you have been working all day inside and step to take a break you see this #remotework #workathome,0,13,3,2019-12-19 18:40:30+00:00,Thu Dec 19 18:40:30 +0000 2019,#remotework #workathome,https://twitter.com/kkhipple/status/1207732454964027392
109,Didyoushowerto1,"What is the most none work related thing you do during your remote workday that brings you balance? For me, getting laundry started or doing the dishes. #remotework #remoteworker #remoteworking",0,0,0,2019-12-19 18:51:34+00:00,Thu Dec 19 18:51:34 +0000 2019,#remotework #remoteworker #remoteworking,https://twitter.com/Didyoushowerto1/status/1207735239822327809
110,jaciebandur,Even the @gitlab handbook is feeling festive this week! #remotework #workfromanywhere,6,35,1,2019-12-19 18:52:13+00:00,Thu Dec 19 18:52:13 +0000 2019,#remotework #workfromanywhere,https://twitter.com/jaciebandur/status/1207735403102396416
111,coachbarbaraj,What are you doing on this gorgeous Georgia day?!!! #WorkingFromHome ,0,1,0,2019-12-19 19:00:03+00:00,Thu Dec 19 19:00:03 +0000 2019,#WorkingFromHome,https://twitter.com/coachbarbaraj/status/1207737374995865601
112,burninginashes,What's a music genre you like that is almost non-existent? I realized yesterday while working how much I love instrumental hip hop violin when I hate hip-hop and instrumental music individually. -- #thursdayvibes #asktwitter #remotework,0,0,0,2019-12-19 19:15:04+00:00,Thu Dec 19 19:15:04 +0000 2019,#thursdayvibes #asktwitter #remotework,https://twitter.com/burninginashes/status/1207741153409404929
113,MeghanDClark,When your work desk also doubles as the household junk drawer. This is life when you live and work on a sailboat. #RemoteWork #WorkLifeBalance – at Port Sidney Marina,0,1,0,2019-12-19 19:28:41+00:00,Thu Dec 19 19:28:41 +0000 2019,#RemoteWork #WorkLifeBalance,https://twitter.com/MeghanDClark/status/1207744582546415616
114,ikeif,I'm going to start working from home. Fellow #remotework people - how do you maintain that kind of conversation you don't get anymore?,0,0,1,2019-12-19 19:47:53+00:00,Thu Dec 19 19:47:53 +0000 2019,#remotework,https://twitter.com/ikeif/status/1207749413898207233
115,jammhq,YESSS @humanworkplace Its a remote world now. Wondering if surgeries and massages - still maybe/ cannot yet be done remotely right? #remotework #virtualteams #meeting ,0,0,0,2019-12-19 19:56:01+00:00,Thu Dec 19 19:56:01 +0000 2019,#remotework #virtualteams #meeting,https://twitter.com/jammhq/status/1207751459124760576
116,Upwork,Keep up or get left behind. How to make the most of #RemoteWorkers to drive growth and success for your organization. @yec @Forbes #RemoteWork ,4,16,2,2019-12-19 20:10:00+00:00,Thu Dec 19 20:10:00 +0000 2019,#RemoteWorkers #RemoteWork,https://twitter.com/Upwork/status/1207754978288455682
117,DrAlexHowland,How festive are your #remotework meetings? #exprealtyproud,5,20,1,2019-12-19 20:28:00+00:00,Thu Dec 19 20:28:00 +0000 2019,#remotework #exprealtyproud,https://twitter.com/DrAlexHowland/status/1207759506203201542
118,PhilipGHarris,London has been sight after sight inbetween my work for .@SleepyPlanetDev #sightseeing #remotework #indiedev,0,6,1,2019-12-19 20:29:52+00:00,Thu Dec 19 20:29:52 +0000 2019,#sightseeing #remotework #indiedev,https://twitter.com/PhilipGHarris/status/1207759976715952128
119,mindexplore4,Awesome! That's fabulous. Thank you! #remotework #remotejob,0,0,0,2019-12-19 21:12:59+00:00,Thu Dec 19 21:12:59 +0000 2019,#remotework #remotejob,https://twitter.com/mindexplore4/status/1207770829486002188
120,sawoual,"A complete guide to finding remote work as a Developer for those who like 'freedom'. I don't like the idea of working remotely for many reasons, but I'd figured this guide will be helpful for others. Kudos @k_ivanow #coding #webdeveloper #digitalnomad",2,9,0,2019-12-19 21:21:06+00:00,Thu Dec 19 21:21:06 +0000 2019,#coding #webdeveloper #digitalnomad,https://twitter.com/sawoual/status/1207772872405606400
121,JSmartrural,"Vineyard, Utah (where!?) sees population grow from 187 to c 8000 on the back of remote training and #remotework. ",1,1,0,2019-12-19 21:30:46+00:00,Thu Dec 19 21:30:46 +0000 2019,#remotework,https://twitter.com/JSmartrural/status/1207775301910106116
122,notch_hq,The full-stack #Remotework solution: @Notch_hq @Tandem_HQ @GraphyHQ @NotionHQ @LatticeHQ @whereby @useloom @SlackHQ Who else?,3,15,2,2019-12-19 21:53:55+00:00,Thu Dec 19 21:53:55 +0000 2019,#Remotework,https://twitter.com/notch_hq/status/1207781130390233089
123,Mmamnani,Even though the #BigBlue may beg to differ now! #remotework #remoteworking #WorkFromHome #WorkLifeBalance via @evankirstel,1,0,0,2019-12-19 22:25:27+00:00,Thu Dec 19 22:25:27 +0000 2019,#BigBlue #remotework #remoteworking #WorkFromHome #WorkLifeBalance,https://twitter.com/Mmamnani/status/1207789065967267841
124,rossdembecki,"Our VP and #CSO, Steven Booth spoke with Financial Times about the #cybersecurity challenges associated with the increase of #remotework. Read: ",0,1,0,2019-12-19 23:30:06+00:00,Thu Dec 19 23:30:06 +0000 2019,#CSO #cybersecurity #remotework,https://twitter.com/rossdembecki/status/1207805334414221312
125,mitchzenger,Remote Work Stats You Need To Know | HR Exchange Network #PulseSurvey #Feedack #CognitiveDiversity #FutureOfWork #Synchievement #Recognition #ContinuousPerformance #DisruptHR,0,2,0,2019-12-20 00:45:38+00:00,Fri Dec 20 00:45:38 +0000 2019,#PulseSurvey #Feedack #CognitiveDiversity #FutureOfWork #Synchievement #Recognition #ContinuousPerformance #DisruptHR,https://twitter.com/mitchzenger/status/1207824345210531841
126,NewsLiebs,From #impeachment coverage to the #DemDebate .... the news never stops. #remotework,0,0,0,2019-12-20 01:15:32+00:00,Fri Dec 20 01:15:32 +0000 2019,#impeachment #DemDebate #remotework,https://twitter.com/NewsLiebs/status/1207831866721677312
127,VizWorld,How to build a world-class remote work culture that boosts productivity #Innovation #technology,0,3,0,2019-12-20 02:52:04+00:00,Fri Dec 20 02:52:04 +0000 2019,#Innovation #technology,https://twitter.com/VizWorld/status/1207856163020296193
128,iannottxr,Right? How absolutely disruptive XR will be. Great hand tracking coupled with excellent human-factors focused collaborative tools will enable a new generation of distributed startups. Accurately tracking the body is key in unlocking human presence as you said. #XR #remotework,0,2,0,2019-12-20 03:27:49+00:00,Fri Dec 20 03:27:49 +0000 2019,#XR #remotework,https://twitter.com/iannottxr/status/1207865159194234880
129,Lizzzola,It’s been 4 days in an office environment but Wow...after #workingfromhome for 5 years and 11months...I’ve realized how much I missed people.Don’t get me wrong- still have my limits and miss some of the #remoteoffice life perks - but people are pretty great #lifeisgood,0,0,0,2019-12-20 06:05:16+00:00,Fri Dec 20 06:05:16 +0000 2019,#workingfromhome #remoteoffice #lifeisgood,https://twitter.com/Lizzzola/status/1207904783308247041
130,kentstuver,"And, speaking of rivers, this was the Llano River, near Junction, Texas. Funny how different the West Texas desert is from the Arizona desert. #laptoplifestyle #remotework ",0,4,0,2019-12-20 06:48:12+00:00,Fri Dec 20 06:48:12 +0000 2019,#laptoplifestyle #remotework,https://twitter.com/kentstuver/status/1207915586589798400
131,PackedPixels,"We think they’re good, full stop #AnyLaptopAnywhere #remotejobs #remotework #flexibleworking #workthatworks",0,2,0,2019-12-20 07:26:24+00:00,Fri Dec 20 07:26:24 +0000 2019,#AnyLaptopAnywhere #remotejobs #remotework #flexibleworking #workthatworks,https://twitter.com/PackedPixels/status/1207925201406693377
